ET1,ET2,ET3
4.719638144,4.719638144,4.719638144
6.032480929,6.032480929,6.032480929
6.765478686,6.765478686,6.765478686
6.205582209,6.205582209,6.205582209
5.585736498,5.585736498,5.585736498
6.018431762,6.018431762,6.018431762
6.213310041,6.213310041,6.213310041
5.838281654,5.838281654,5.838281654
5.794492147,5.794492147,5.794492147
5.85321992,5.85321992,5.85321992
5.521914636,5.521914636,5.521914636
6.007539469,6.007539469,6.007539469
6.289970504,6.289970504,6.289970504
6.417069253,6.417069253,6.417069253
5.298640395,5.298640395,5.298640395
6.003556319,6.003556319,6.003556319
3.910784534,3.910784534,3.910784534
3.681195168,3.681195168,3.681195168
3.337157069,3.337157069,3.337157069
5.672750185,5.672750185,5.672750185
4.943681933,4.943681933,4.943681933
4.042545128,4.042545128,4.042545128
1.931951962,1.931951962,1.931951962
5.769656087,5.769656087,5.769656087
6.012801496,6.012801496,6.012801496
4.54967768,4.54967768,4.54967768
5.202425117,5.202425117,5.202425117
5.119155417,5.119155417,5.119155417
4.198798094,4.198798094,4.198798094
3.256452915,3.256452915,3.256452915
5.08795065,5.08795065,5.08795065
4.474912201,4.474912201,4.474912201
5.239828476,5.239828476,5.239828476
4.918071036,4.918071036,4.918071036
4.086674028,4.086674028,4.086674028
5.029925734,5.029925734,5.029925734
4.100132312,4.100132312,4.100132312
5.429220255,5.429220255,5.429220255
3.970336699,3.970336699,3.970336699
4.752097572,4.752097572,4.752097572
5.007084799,5.007084799,5.007084799
5.160693599,5.160693599,5.160693599
4.982934766,4.982934766,4.982934766
5.296515503,5.296515503,5.296515503
1.291387624,1.291387624,1.291387624
3.24204971,3.24204971,3.24204971
4.744369392,4.744369392,4.744369392
5.455841574,5.455841574,5.455841574
5.422823162,5.422823162,5.422823162
3.660247593,3.660247593,3.660247593
1.975172648,1.975172648,1.975172648
4.957297039,4.957297039,4.957297039
3.504699042,3.504699042,3.504699042
4.087623081,4.087623081,4.087623081
4.120780913,4.120780913,4.120780913
4.211395482,4.211395482,4.211395482
4.511095323,4.511095323,4.511095323
4.796763501,4.796763501,4.796763501
1.73311624,1.73311624,1.73311624
2.738944698,2.738944698,2.738944698
2.648638882,2.648638882,2.648638882
4.391801298,4.391801298,4.391801298
5.488606014,5.488606014,5.488606014
3.466027628,3.466027628,3.466027628
1.953225126,1.953225126,1.953225126
4.727763574,4.727763574,4.727763574
2.95301504,2.95301504,2.95301504
2.525732445,2.525732445,2.525732445
3.64209094,3.64209094,3.64209094
2.356003994,2.356003994,2.356003994
1.203708143,1.203708143,1.203708143
2.561649022,2.561649022,2.561649022
1.212208641,1.212208641,1.212208641
